"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"55YNSY36","journalArticle","2017","Zozaya-Montes, Leonor","NTIC e innovación docente: juegos en soporte digital para complementar el aprendizaje paleografía","Revista de Humanidades Digitales","","2531-1786","10.5944/rhd.vol.1.2017.17072","https://revistas.uned.es/index.php/RHD/article/view/17072","Este artículo propone usar juegos como complemento para reforzar conocimientos previamente adquiridos de paleografía de lectura. Tras ofrecer una definición de juego, y conjeturar sobre sus límites subjetivos, reúne teorías históricas que recalcan los beneficios de introducirlo en la docencia. También pincela avances dados en Humanidades Digitales y en Paleografía Digital. Además, trata corrientes pedagógicas de innovación educativa que introducen juegos y NTIC (Nuevas Tecnologías de la Información y la Comunicación) para enseñar. Repasa métodos de docencia de paleografía, tradicionales y modernos, incluyendo cursos interactivos en línea. Se centra en los escasos juegos de paleografía existentes, en la Paleoteca y en otros proyectos, como el borrador de Santos. Concluye reflexionando sobre la escasez de los denominados juegos de paleografía, cuando el contexto docente propiciaría incluirlos.","2017-10-10","2024-08-13 19:45:32","2024-08-13T19:45:32Z","2024-08-13 19:45:31","150-180","","","1","","RHD","NTIC e innovación docente","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUGHQQ7C","journalArticle","2022","Garcia Serrano, Ana; Menta Garuz, Antonio","La inteligencia artificial en las Humanidades Digitales: dos experiencias con corpus digitales","Revista de Humanidades Digitales","","2531-1786","10.5944/rhd.vol.7.2022.30928","https://revistas.uned.es/index.php/RHD/article/view/30928","Este artículo se centra en el análisis de dos investigaciones de diverso signo guiadas por la inteligencia artificial dentro del campo de las HD. El primero es una investigación muy conocida y exitosa de dos lingüistas que resuelven un caso de atribución de autoría a través de la construcción de un corpus digital de 150 obras de 40 novelistas italianos. El segundo es la investigación llevada a cabo en el corpus digital DIMH (El Dibujante Ingeniero al servicio de la Monarquía Hispánica. Siglos XVI-XVIII), una evolución de la Colección de mapas, planos y dibujos del Archivo General de Simancas (siglos XVI-XVIII), cuyo objetivo fue desarrollar herramientas de soporte a tareas de anotación semántica, búsqueda de información, extracción de relaciones ocultas en los textos y visualización de los resultados para facilitar la investigación de los historiadores. A través de estos dos ejemplos, este artículo busca mostrar los métodos, procesos y posibilidades de éxito en problemas complejos de investigación en Humanidades resueltos con técnicas de procesamiento del lenguaje natural (PLN) y análisis de datos.","2022-06-10","2024-08-13 18:56:29","2024-08-13T18:56:29Z","2024-08-13 18:56:28","19-39","","","7","","RHD","La inteligencia artificial en las Humanidades Digitales","","","","","","","","https://creativecommons.org/licenses/by-nc/4.0","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PATJLS8W","journalArticle","2022","Isasi, Jennifer; Bernal, Juan Pablo Angarita; Butelman, Matías","Exhibición digital mínima e interactiva con CollectionBuilder","Programming Historian en español","","2517-5769","10.46430/phes0060","https://programminghistorian.org/es/lecciones/exhibicion-con-collection-builder","En esta lección aprenderás a utilizar la versión ligera de CollectionBuilder para publicar una colección digital.","2022-08-21","2024-08-13 18:55:07","2024-08-13T18:55:07Z","2024-08-13 18:55:06","","","6","","","","","","","","","","","es","https://creativecommons.org/licenses/by/4.0/deed.es","","","","DOI.org (Crossref)","","","","","","","","Afanador-Llach, Maria José; Gribomont, Isabelle","","","Bernal, Juan Pablo Angarita; Butelman, Matías","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DVNV5SE9","journalArticle","2021","Acker, Amelia; Flamm, Lucy","COVID-19 Community Archives and the  Platformization of Digital Cultural Memory","Hawaii International Conference on System Sciences 2021 (HICSS-54)","","","","https://aisel.aisnet.org/hicss-54/dsm/critical_and_ethical_studies/3","","2021-01-04","2024-08-13 18:54:06","2024-08-13T18:54:06Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQ2WWWCX","journalArticle","2022","Fernandez, Sylvia; Luna, Rubria Rocha de; Zapata, Annette M.","United Fronteras como tercer espacio: Modelo transfronterizo a través de las humanidades digitales poscoloniales y la computación mínima","Digital Humanities Quarterly","","1938-4122","","","","2022-06-25","2024-08-13 18:53:25","2024-08-13T18:53:25Z","","","","2","016","","DHQ","United Fronteras como tercer espacio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4UM32JQC","journalArticle","2020","Salomón Salazar, Mercedes I.; Salazar, Mercedes I. Salomón","El Catálogo Colectivo de Marcas de Fuego. Avatares para conformar su canon de autoridades","Digital Humanities Quarterly","","1938-4122","","","","2020-12-15","2024-08-13 18:52:04","2024-08-13T18:52:04Z","","","","4","014","","DHQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E94ZQAEC","journalArticle","2013","Drabinski, Emily","Queering the Catalog: Queer Theory and the Politics of Correction","The Library Quarterly","","0024-2519, 1549-652X","10.1086/669547","https://www.journals.uchicago.edu/doi/10.1086/669547","","2013-04","2024-08-13 18:51:38","2024-08-13T18:51:38Z","2024-08-13 18:51:37","94-111","","2","83","","The Library Quarterly","Queering the Catalog","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HFB36IRI","journalArticle","2021","Ospina Cordero, Julio César; Robelto Cantor, Lida María; Ospina Cordero, Julio César; Robelto Cantor, Lida María","DESAFÍOS DE LAS NARRATIVAS DIGITALES EN LA APROPIACIÓN SOCIAL DEL PATRIMONIO CULTURAL Y NATURAL DE LA NACIÓN","Investigación y Desarrollo","","0121-3261","10.14482/indes.29.1.306.4","http://www.scielo.org.co/scielo.php?script=sci_abstract&pid=S0121-32612021000100240&lng=en&nrm=iso&tlng=es","","2021-06","2024-08-13 18:51:17","2024-08-13T18:51:17Z","2024-08-13 18:51:16","240-253","","1","29","","","","","","","","","","es","","","","","SciELO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ML6VRKSG","journalArticle","2017","Adler, Melissa","Classification Along the Color Line: Excavating Racism in the Stacks","Journal of Critical Library and Information Studies","","2572-1364","10.24242/jclis.v1i1.17","https://journals.litwinbooks.com/index.php/jclis/article/view/17","This paper contends that systemic violence is fundamentally a classification problem. The interrogation of the production of racialized library subjects in relation to one another and in relation to political and social conditions may shed light on the intensely complex problems of racism in the United States today. I discuss the ways that sections of library classifications were constructed based on ideas about African Americans in relation to American social and political agendas. My claim is that the structures that were written in the late 19th and early 20th centuries are deeply embedded in our libraries and have participated in the naturalization of certain racialized assumptions and associations. In the 21st century we continue to maintain, apply, and refine a flawed structure. My aim is to provide a window into how epistemic violence affects American consciousness about race by revealing some of the ways that our library classifications have been woven together by a group of men who cited and informed one another and ultimately, organized and universalized American history. These classifications are structured around assertions about timeless and fixed national values constructed out of progressive conceptualizations of the nation and its citizenry. A reliance on racial exclusion was necessary for this grand narrative, and scientific theories and classifications provided legitimacy and fuel for racist programs. One of key ways that exclusion was legitimated and supported was through the application of evolutionary theory and principles. Social engineering, white supremacy, and conquest were justified and propelled by beliefs in the evolutionary superiority of the Anglo-Saxon race. It is not by accident that these ideas became foundational to classificatory practice in libraries. In fact, Thomas Dousa has drawn attention to the intellectual climate in which late 19th century library classificationists worked - particularly, the theories and classifications of the sciences and nature as devised by Auguste Compte, Herbert Spencer, and Charles Darwin - and argues that these ideas and systems inspired the introduction of evolutionary principles into bibliographic classifications.[i] The present paper is in agreement with Dousa's claim and argues that such a conclusion carries critical implications for understanding libraries' classifications of race and ethnicity. Emphasis is placed is on the legacy of the classification of books about people of African descent as variously named and conceptualized in the late 19th and early 20th centuries. The last section of the paper examines the classifications as performatives to examine some of the processes by which racism has become systemic on library shelves. [i] Thomas M. Dousa, ""Evolutionary Order in the Classification Theories of CA Cutter and EC Richardson: Its Nature and Limits."" NASKO 2, no. 1 (2011): 76.","2017-01-29","2024-08-13 18:50:53","2024-08-13T18:50:53Z","2024-08-13 18:50:53","","","1","1","","JournalCritLIS","Classification Along the Color Line","","","","","","","","https://creativecommons.org/licenses/by-nc/4.0","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHMZB37E","journalArticle","2020","Tai, Jessica","Cultural Humility as a Framework for Anti-Oppressive Archival Description","Journal of Critical Library and Information Studies","","2572-1364","10.24242/jclis.v3i2.120","https://journals.litwinbooks.com/index.php/jclis/article/view/120","This essay argues for the necessity for mainstream archival institutions to audit for oppressive, euphemistic or misrepresentative language within their archival description, and will advocate for the redescription of collections to be undertaken through a framework of cultural humility. Prioritizing critical self-reflection, institutional accountability, and by recognizing and challenging power imbalances, archivists can facilitate the rectification of false historical narratives and oppressive language that continues to be created and remain in the collection description of mainstream archives. This article will examine what steps are necessary to describe and re-describe material through a lens of cultural humility, foregrounding the development of an ethical descriptive practice as an iterative and cyclical process rather than one that is linear with a finite date of achievement. The resulting recommendations will serve as a call for archivists and archival institutions to continually develop a descriptive practice that is transparent, critically self-reflective and community-centered.   Pre-print first published online 10/01/2020","2020-10-01","2024-08-13 18:50:24","2024-08-13T18:50:24Z","2024-08-13 18:50:23","","","2","3","","JournalCritLIS","","","","","","","","","https://creativecommons.org/licenses/by-nc/4.0","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7DFB6CNV","journalArticle","2021","Peña Pimentel, Miriam; Galina Rusell, Isabel; Peña Pimentel, Miriam; Galina Rusell, Isabel","Los metadatos de la Hemeroteca Nacional Digital de México. Aproximaciones para una ontología","Alcance","","2411-9970","","http://scielo.sld.cu/scielo.php?script=sci_abstract&pid=S2411-99702021000100281&lng=es&nrm=iso&tlng=es","Cada vez es más común que se realicen investigaciones con la utilización de colecciones digitalizadas. Los resultados que arrojan los sistemas de búsqueda dependen de los metadatos y organización documental que por lo general, son invisibles para el usuario. Existe poco trabajo en torno a estudiar cómo están estructurados los metadatos y de qué formas permiten pero también condicionan los resultados de las búsquedas, actuando como una especie de mediador entre el usuario y la colección. El objetivo de este artículo es reflexionar en torno a los sistemas de organización documental y su impacto en los resultados de una investigación, a partir de un ejemplo concreto, el de la Hemeroteca Nacional Digital de México, a través del ejercicio de crear una ontología basada en el esquema de estructuración de metadatos de la Hemeroteca Digital a partir de JSON. Palabras-clave: ontología; metadatos; hemeroteca digital","2021-04","2024-08-13 18:50:07","2024-08-13T18:50:07Z","2024-08-13 18:50:06","281-300","","25","10","","","","","","","","","","","","","","","SciELO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73EBQH63","journalArticle","2020","Rodríguez, Anthony Picón; Cuadros, Miguel; Losada, José Luis; Quiroga, Riva","Introducción a Map Warper","Programming Historian en español","","2517-5769","10.46430/phes0048","https://programminghistorian.org/es/lecciones/introduccion-map-warper","En esta lección aprenderás a georreferenciar imágenes digitales con la herramienta Map Warper y a vincularlas a sistemas de información geográficos.","2020-07-11","2024-08-13 18:48:23","2024-08-13T18:48:23Z","2024-08-13 18:48:22","","","4","","","","","","","","","","","es","https://creativecommons.org/licenses/by/4.0/deed.es","","","","DOI.org (Crossref)","","","","","","","","Castro, Antonio Rojas","","","Losada, José Luis; Quiroga, Riva","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W8I8GHPJ","journalArticle","2021","Ravazzola, Alejandro; Landa, Carlos; Vitores, Marcelo; Avido, Daniela","Territorios virtuales y campos de batalla. El uso de mapas digitales como espacios multimedia de estudio y divulgación","Revista de Humanidades Digitales","","2531-1786","10.5944/rhd.vol.6.2021.29315","http://revistas.uned.es/index.php/RHD/article/view/29315","El desarrollo tecnológico de las últimas décadas ha proporcionado múltiples posibilidades de comunicación con diversos públicos. Nuevas herramientas y canales complementan y optimizan las preexistentes y exigen también la construcción de nuevos tipos de relato, junto a la conformación de equipos multidisciplinarios que combinen diferentes saberes. En este trabajo exploramos la aplicación de herramientas digitales de registro y difusión al estudio arqueológico-histórico de los conflictos armados y asentamientos militares de frontera de los siglos XVIII y XIX, con fines investigativos académicos y de difusión multiplataforma accesible para un público no especializado.","2021-11-26","2024-08-13 18:47:59","2024-08-13T18:47:59Z","2024-08-13 18:47:58","217-235","","","6","","RHD","","","","","","","","","https://creativecommons.org/licenses/by-nc/4.0","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZTZBD7Z","journalArticle","2019","Ortega Vázquez, Guillermo Salvador","Mediatización y digitalización del patrimonio cultural. El caso de la Mediateca del Instituto Nacional de Antropología e Historia","Revista de Humanidades Digitales","","2531-1786","10.5944/rhd.vol.4.2019.25110","http://revistas.uned.es/index.php/RHD/article/view/25110","La relación entre patrimonio cultural y medios de comunicación ha tenido una transformación con la incursión de los recursos digitales. Este trabajo comprende esta relación a partir de un par de explicaciones teóricas. La primera de ellas con el concepto de sociedad red establecido por Manuel Castells y, por otro lado, el proceso de mediatización que delinea Stig Hjarvard. Para acercarnos de forma deductiva a este fenómeno se analizan las características de la biblioteca digital del Instituto Nacional de Antropología e Historia y la resignificación del patrimonio cultural desde el plano digital.","2019-11-01","2024-08-13 18:47:43","2024-08-13T18:47:43Z","2024-08-13 18:47:42","69","","","4","","RHD","","","","","","","","","http://creativecommons.org/licenses/by-nc/4.0","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ICBK7X2","journalArticle","2022","Zurita Jiménez, Clotilde","Retos para la digitalización de las bibliotecas, centros de documentación y archivos históricos de la Unión General de Trabajadoras y Trabajadores de España (UGT)","Revista de Humanidades Digitales","","2531-1786","10.5944/rhd.vol.7.2022.35938","https://revistas.uned.es/index.php/RHD/article/view/35938","La documentación histórica del Movimiento Obrero es tan importante como cualquier otra, pero es quizá la menos conocida y protegida. Para que sea incorporada a las nuevas investigaciones es necesario saber el estado de digitalización en el que se encuentra. En este caso nos centramos en el estado de la digitalización de la documentación histórica que ha generado o que se encuentra en poder del Sindicato Unión General de Trabajadoras y Trabajadores de España.","2022-12-14","2024-08-13 18:46:56","2024-08-13T18:46:56Z","2024-08-13 18:46:55","144-155","","","7","","RHD","","","","","","","","","https://creativecommons.org/licenses/by-nc/4.0","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTK8XZS3","journalArticle","2017","Kelleher, Christian","Archives Without Archives: (Re)Locating and (Re)Defining the Archive Through Post-Custodial Praxis","Journal of Critical Library and Information Studies","","2572-1364","10.24242/jclis.v1i2.29","https://journals.litwinbooks.com/index.php/jclis/article/view/29","The post-custodial paradigm of archives re-positions archivists from institutional custodians of archival records to stewards of records in their places of creation or use. Through this dislocation from traditional practice, post-custodial praxis democratizes the power dynamic of archives by disaggregating the value of archival records from dependence on the archival repository and prioritizing the context of records creation over records content. The post-custodial paradigm disaggregates archives praxis from physical custody of records and (re)locates the work of the archivist to be neither only the institutional repository nor the site of records creation, but rather a third space that crosses borders between the two and can function in both but belongs wholly to neither. This article discusses how locations of power and agency can be (re)positioned by post-custodial archives theory and praxis within a case study of the University of Texas Libraries' Human Rights Documentation Initiative.","2017-07-07","2024-08-13 18:46:35","2024-08-13T18:46:35Z","2024-08-13 18:46:35","","","2","1","","JournalCritLIS","Archives Without Archives","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
