"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","Link","Language of Original Document","Document Type","Source"
"Gul J.; Dauletbay Z.","Gul, Jussupova (57210602871); Dauletbay, Zhussip (57213163921)","57210602871; 57213163921","Models of effective public administration in digitalization; [Modelos de administración pública efectiva en digitalización]","2019","Opcion","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077564846&partnerID=40&md5=57b4d8ffddb7e39eac41d2cbdab3f9a5","English","Article","Scopus"
"Vargas E.; Villelli M.B.","Vargas, Emmanuel (57203484590); Villelli, Marcia Bianchi (37057986000)","57203484590; 37057986000","The digital transition of archaeological heritage: two digitalization experiences in North-patagonia (Río Negro Province and Nahuel Huapi National Park); [La transición digital del patrimonio arqueológico: dos experiencias de digitalización en Norpatagonia (Provincia. de Río Negro y Parque Nacional Nahuel Huapi)]","2023","Revista del Museo de Antropologia","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187128328&doi=10.31048%2f1852.4826.v16.n2.41591&partnerID=40&md5=07ebbe345332d9fbde7f7d74cc10bdcb","English","Article","Scopus"
"Medved J.; Real M.; Cazabat M.; Tonina A.","Medved, Juan (57973426900); Real, Mariano (24829529200); Cazabat, Marcelo (55368565800); Tonina, Alejandra (6507126100)","57973426900; 24829529200; 55368565800; 6507126100","Automatización en la medición de impedancias","2022","2022 IEEE Biennial Congress of Argentina, ARGENCON 2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142346941&doi=10.1109%2fARGENCON55245.2022.9940075&partnerID=40&md5=0d9cb6f75946b64acaa53dec6a132d3e","Spanish","Conference paper","Scopus"
"José O.","José, Osuna (57222508473)","57222508473","The digitalization sectors; [Los sectores de la digitalización]","2020","Revista de Obras Publicas","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102953834&partnerID=40&md5=7bb0717f19a345617996894a909acbb5","Spanish","Note","Scopus"
"González-Meneses M.","González-Meneses, Manuel (58788982300)","58788982300","Information, electricity and codes. Technical and logical foundations of the legal document digitisation process; [INFORMACIÓN, ELECTRICIDAD Y CÓDIGOS. FUNDAMENTOS TÉCNICOS Y LÓGICOS DEL PROCESO DE DIGITALIZACIÓN DEL DOCUMENTO JURÍDICO]","2023","Revista de Derecho Civil","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183883763&partnerID=40&md5=7085efdf26d75db55d3525fbdf2c6230","Spanish","Review","Scopus"
"Rodriguez-Pasquín M.; García-Luque O.; López-Martínez M.","Rodriguez-Pasquín, Myriam (57423070700); García-Luque, Olga (57190014017); López-Martínez, María (58731912700)","57423070700; 57190014017; 58731912700","Digitalization and skills in Spain: regional differences and gender gaps; [Digitalización y competencias en España: diferencias regionales y brechas de género]","2023","Sociologia y Tecnociencia","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169445422&doi=10.24197%2fst.2.2023.94-117&partnerID=40&md5=4d61339e3b55d3fc969c09a1717499b3","English","Article","Scopus"
"Alderete M.V.; Álvarez N.; Jones C.","Alderete, María Verónica (36871532200); Álvarez, Nicolás (58519629100); Jones, Carola (55307539600)","36871532200; 58519629100; 55307539600","Estimation of the sales channels’ digitalization level of firms from Bahía Blanca, Argentina facing the pandemic; [Estimación del nivel de digitalización de los canales de venta de empresas de Bahía Blanca, Argentina frente a la pandemia]","2023","Contaduria y Administracion","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166596186&doi=10.22201%2ffca.24488410e.2023.3344&partnerID=40&md5=4753275e630a37573ed3e0a8318bd242","Spanish","Article","Scopus"
"Espinoza-Rodríguez O.A.C.; Lam-Flores I.C.; Álvarez-Silva M.S.; Villena-Zapata L.Í.; Chero-Valdivieso H.; Canchari-Preciado M.Á.; Víctor G.-F.","Espinoza-Rodríguez, Olenka Ana Catherine (58154407700); Lam-Flores, Ingrid Cristina (58154704900); Álvarez-Silva, Mary Sabeth (58154124500); Villena-Zapata, Luigi Ítalo (57573703000); Chero-Valdivieso, Henry (58620095700); Canchari-Preciado, Miguel Ángel (58173648200); Víctor, García-Farias (58154124600)","58154407700; 58154704900; 58154124500; 57573703000; 58620095700; 58173648200; 58154124600","Digitization and Tourist Intelligence: an option to improve the profitability of the Chimbote hotel industry, 2022; [Digitalización e inteligencia turística: una opción de mejora en la rentabilidad de la industria hotelera de Chimbote,2022]","2023","Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172303838&partnerID=40&md5=31af2646a9582a6791d7b721e062a6eb","Spanish","Conference paper","Scopus"
"Rodríguez A.J.","Rodríguez, Antonia Jabalera (58493821600)","58493821600","Tax challenges arising from digitalisation. Analysis of the spanish Tax on Digital Services from an International and European perspective; [Desafíos fiscales de la digitalización: Análisis del Impuesto español sobre servicios digitales desde una perspectiva internacional y europea]","2021","Ius et Veritas","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165172955&doi=10.18800%2fiusetveritas.202102.014&partnerID=40&md5=0178188c7342618c1874218697dcabc1","Spanish","Article","Scopus"
"","","","Brushstrokes of 2022 and starting point for 2023: Digitalization of the asphalt industry for more sustainable and smarter roads; [Pinceladas del 2022 y punto de partida de 2023: la digitalización del sector del asfalto para unas carreteras más sostenibles e inteligentes]","2022","Carreteras","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169319671&partnerID=40&md5=a0d10baa2617d22b26ee4261d0f651b6","Spanish","Article","Scopus"
"Símonova L.N.","Símonova, Liudmila N. (57226828163)","57226828163","TECHNOLOGICAL RENEWAL AND SUSTAINABLE DEVELOPMENT OF LATIN AMERICA; [RENOVACIÓN TECNOLÓGICA Y DESARROLLO SOSTENIBLE DE AMÉRICA LATINA]","2021","Iberoamerica (Russian Federation)","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112795116&doi=10.37656%2fs20768400-2021-2-01&partnerID=40&md5=707f0b8e61a7869f2d14a73d589c0f08","English","Article","Scopus"
"Ruiz Rosa M.A.","Ruiz Rosa, M. Arce (7005861209)","7005861209","Mobility and digitalization; [Movilidad y digitalización]","2020","Revista de Obras Publicas","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102926243&partnerID=40&md5=9ff915f72c450b463cb8f33f62d44ce7","Spanish","Article","Scopus"
"Sandoval C.R.; Ortiz R.R.","Sandoval, Claudia Rozo (58104622900); Ortiz, Rocío Rueda (58105245400)","58104622900; 58105245400","Higher Education in the Context of Digitization: Challenges, Tensions and Pedagogical Possibilities; [Educação superior no contexto da digitalização: retos, tensões e possibilidades pedagógicas]; [Educación superior en el contexto de la digitalización: retos, tensiones y posibilidades pedagógicas]","2022","Nomadas","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148210619&doi=10.30578%2fnomadas.n56a9&partnerID=40&md5=cca63eb6088ccadd398ce0653afc02ef","Spanish","Article","Scopus"
"Gutierrez R.T.; Campino T.B.; Valbuena J.G.","Gutierrez, Raul Tabares (57201492090); Campino, Tatiana Bartolome (57972634600); Valbuena, Jorge Garcia (57972679900)","57201492090; 57972634600; 57972679900","Challenges and opportunities of maker culture for the digitalization of Spanish society; [Oportunidades y retos de la cultura maker para la digitalización de la sociedad española]","2022","Sociologia y Tecnociencia","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142312128&doi=10.24197%2fst.2.2022.206-227&partnerID=40&md5=d6834627d0d04e5bade5c31cfff2ca59","Spanish","Article","Scopus"
"Blázquez-Ochando M.; Ramos-Simón L.-F.","Blázquez-Ochando, Manuel (54936142500); Ramos-Simón, Luis-Fernando (25229484100)","54936142500; 25229484100","Digitization of protected works: Software for the detection of out of commerce works; [Digitalización de obras protegidas: Software para la detección de obras fuera del circuito comercial]","2019","Profesional de la Informacion","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078442031&doi=10.3145%2fepi.2019.nov.24&partnerID=40&md5=24988d5b664df36552e5d27c019d2279","Spanish","Article","Scopus"
"Guerrero X.L.; Vidal M.C.F.","Guerrero, Xavier Lorente (57008202200); Vidal, Mari Carmen Fernández (58088000400)","57008202200; 58088000400","Effects of the older student in digital formats; [EFECTOS DEL ALUMNO MAYOR EN FORMATOS DIGITALES Digitalización del proceso de aprendizaje en un aula sénior]","2023","VISUAL Review. International Visual Culture Review / Revista Internacional de Cultura ","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147264656&doi=10.37467%2frevvisual.v10.4578&partnerID=40&md5=1e93e1ae4e7a51e77a0bec82f727b657","Spanish","Article","Scopus"
"Campos Acuña C.","Campos Acuña, Concepción (58001435700)","58001435700","Digitization of procedures in local governments: a pending task; [La digitalización de los procedimientos en los Gobiernos locales: una tarea pendiente]","2022","Cuadernos de Derecho Local","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160591811&partnerID=40&md5=4ec34ac57ff6f227f005da15ce2732b6","Spanish","Article","Scopus"
"Berrezueta E.; Rodríguez-Rey Á.; Domínguez-Cuesta M.J.","Berrezueta, Edgar (23007383200); Rodríguez-Rey, Ángel (6603275904); Domínguez-Cuesta, María José (16836005800)","23007383200; 6603275904; 16836005800","Digitization, documentation and visualization of thin sections images acquired by high-resolution scanner; [Digitalización, documentación y visualización de imágenes de láminas delgadas obtenidas con un escáner digital]","2020","Geogaceta","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130584081&partnerID=40&md5=bbc8fe655b5baa80a1cc92d19e95c0a9","Spanish","Article","Scopus"
"Yaguache J.J.; Valdiviezo K.C.","Yaguache, Jenny J. (56358757700); Valdiviezo, Karen C. (58577625400)","56358757700; 58577625400","Digitization of Business Communication and the CommTech of E-commerce; [Digitalización de la comunicación empresarial y el CommTech del E-commerce]","2023","CICIC 2023 - Decima Tercera Conferencia Iberoamericana de Complejidad, Informatica y Cibernetica en el contexto de the 14th International Multi-Conference on Complexity, Informatics, and Cybernetics, IMCIC 2023 - Memorias","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171300845&doi=10.54808%2fCICIC2023.01.143&partnerID=40&md5=1731d97589b3a97808d57cdcf77b0ae5","Spanish","Conference paper","Scopus"
"Vela Díaz R.","Vela Díaz, Raquel (57540447900)","57540447900","Digitalization and new automated procedures: algorithmic decisions impregnate the performance of the labor and social security administration; [Digitalización y nuevos trámites automatizados: las decisiones algorítmicas impregnan la actuación de la Administración Laboral y de Seguridad Social]","2021","Trabajo y Derecho","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126824307&partnerID=40&md5=03644452b2c7ef46597107af93509ee6","Spanish","Article","Scopus"
"Sánchez Allegue P.; Melendreras Ruiz R.; Marín Torres M.T.","Sánchez Allegue, Paloma (57208688578); Melendreras Ruiz, Rafael (24829771800); Marín Torres, María Teresa (57428731000)","57208688578; 24829771800; 57428731000","Desarrollo de una Réplica Táctil Para Experiencias Inclusivas de Artefactos Religiosos","2022","Curator","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134538357&doi=10.1111%2fcura.12472&partnerID=40&md5=41b20478dae42e44ab608c776915e01f","English","Article","Scopus"
"Juan L.","Juan, Lazcano (57222505448)","57222505448","Sustainable mobility and digitalization; [Movilidad sostenible y digitalización]","2020","Revista de Obras Publicas","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102951295&partnerID=40&md5=fe4672e5f331113ecb18e42c0fa06928","Spanish","Article","Scopus"
"Garashchuk A.; Castillo F.I.; Rivera P.P.","Garashchuk, Anna (57210844559); Castillo, Fernando Isla (58105063400); Rivera, Pablo Podadera (55234323700)","57210844559; 58105063400; 55234323700","Depopulation of EU Lower-Income Regions: Can Digitalisation via Broadband Access Reduce It?; [Despoblación de las regiones de bajos ingresos de la UE: ¿puede la digitalización a través del acceso de banda ancha reducirlo?]","2023","Revista de Economia Mundial","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168459723&doi=10.33776%2frem.vi64.7489&partnerID=40&md5=73057abcb07fc166443bcdd925ef90fd","English","Article","Scopus"
"Miró-Llinares F.","Miró-Llinares, Fernando (57191536946)","57191536946","Digitalization and algorithmization of justice: Introduction to a monograph in times of AI regulation; [Digitalización y algoritmización de la justicia: introducción a un monográfico en tiempos de regulación de la IA]","2023","Revista de Internet, Derecho y Politica","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186752384&doi=10.7238%2fidp.v0i39.421153&partnerID=40&md5=a7165c769eaca06b218b60ec4096a025","Spanish","Editorial","Scopus"
"Hernández-Prados M.Á.; Gil-Noguera J.A.; Álvarez-Muñoz J.S.","Hernández-Prados, M. Ángeles (55115781200); Gil-Noguera, Juan Antonio (58099670400); Álvarez-Muñoz, José Santiago (57489979000)","55115781200; 58099670400; 57489979000","Pandemic homework. Parental perception of changes associated with the digitization of education; [Tareas escolares en pandemia. Percepción parental de los cambios asociados a la digitalización de la educación]","2023","Estudios Sobre Educacion","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150608823&doi=10.15581%2f004.44.006&partnerID=40&md5=d315b8836b7cec0fc4d0a3dad9bc4f6e","Spanish","Article","Scopus"
"Villar F.A.; Candelario S.; Díaz J.","Villar, Fernando Andrés (57205618963); Candelario, Soledad (57212172306); Díaz, Javier (58186354900)","57205618963; 57212172306; 58186354900","DRONES, PHOTOGRAMMETRY AND GEOGRAPHIC INFORMATION SYSTEMS. SOME CONTRIBUTIONS TO THE ARCHAEOLOGY OF INDUSTRIAL CONTEXTS; [DRONES, FOTOGRAMETRÍA Y SISTEMAS DE INFORMACIÓN GEOGRÁFICA. ALGUNOS APORTES A LA ARQUEOLOGÍA DE CONTEXTOS INDUSTRIALES]","2023","Comechingonia","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152700298&doi=10.37603%2f2250.7728.v27.n1.38136&partnerID=40&md5=6bb40c953c9c2eee69f6a3e1aa235993","English","Article","Scopus"
"Benaissa A.; Bahri A.; El Allaoui A.; Salahddine M.A.","Benaissa, Ali (57571899400); Bahri, Abdelkhalak (58079061600); El Allaoui, Ahmad (57195110231); Salahddine, My Abdelouahab (58959942000)","57571899400; 58079061600; 57195110231; 58959942000","Transformative progress in document digitization: An in-depth exploration of machine and deep learning models for character recognition; [Progreso transformador en la digitalización de documentos: Una exploración en profundidad de los modelos de aprendizaje automático y profundo para el reconocimiento de caracteres]","2023","Data and Metadata","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188918822&doi=10.56294%2fdm2023174&partnerID=40&md5=3c042dc754f00f970a6f9be1f69ae135","English","Article","Scopus"
"Zabaleta-Urkiola I.; Ferré-Pavia C.; Fernández-Astobiza I.; Urrutia-Izaguirre S.; Gutiérrez-Paz A.; Xamardo-González N.","Zabaleta-Urkiola, Iñaki (42862848700); Ferré-Pavia, Carme (55786562500); Fernández-Astobiza, Itxaso (42861284200); Urrutia-Izaguirre, Santiago (42862462900); Gutiérrez-Paz, Arantza (57210539181); Xamardo-González, Nicolás (42862730500)","42862848700; 55786562500; 42861284200; 42862462900; 57210539181; 42862730500","The effect of digitalization on the funding of the media in minority language: Ten European cases; [El efecto de la digitalización en la financiación de los medios en lenguas minoritarias: Diez casos Europeos]","2015","Palabra Clave","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922928896&doi=10.5294%2fpacla.2015.18.1.6&partnerID=40&md5=fc6ab76ae31b5e5e0f6d6f1488d5cf82","Spanish","Article","Scopus"
"Pacheco-Mangas J.; de Las Olas Palma-García M.; Hombrados-Mendieta I.","Pacheco-Mangas, Javier (57201733924); de Las Olas Palma-García, María (57200408012); Hombrados-Mendieta, Isabel (15827829500)","57201733924; 57200408012; 15827829500","Resilience and organizational culture of social services in the era of digitalization; [Resiliencia y cultura organizacional de los servicios sociales en la era de la digitalizaciÓn]","2020","Prisma Social","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091058044&partnerID=40&md5=046b143e0852136ff750847e2cffa791","Spanish","Article","Scopus"
"Rodríguez-Pecci F.; Pastor-Fernández A.; Otero-Mateo M.; Cerezo-Narváez A.; Ballesteros-Pérez P.","Rodríguez-Pecci, Francisco (57202978302); Pastor-Fernández, Andrés (57214845588); Otero-Mateo, Manuel (55807228000); Cerezo-Narváez, Alberto (57194421043); Ballesteros-Pérez, Pablo (54782096900)","57202978302; 57214845588; 55807228000; 57194421043; 54782096900","THE IMPORTANCE AND NEED OF COMPUTERIZING COMPLEX PROJECT REQUIREMENTS SUCH AS PLATFORMS AND NAVAL SYSTEMS UNDER 4.0 ENVIRONMENTS; [IMPORTANCIA Y NECESIDAD, PARA PROYECTOS COMPLEJOS COMO PLATAFORMAS Y SISTEMAS NAVALES, DE LA DIGITALIZACIÓN DE LOS REQUISITOS EN ENTORNOS 4.0]","2020","Proceedings from the International Congress on Project Management and Engineering","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150724540&partnerID=40&md5=a8af3d62b966a5fd95facbe52405e90d","Spanish","Conference paper","Scopus"
"De Gopegui Fernando R.R.","De Gopegui Fernando, Ruiz Ruiz (57222505123)","57222505123","Construction and digitalization; [Construcción y digitalización]","2020","Revista de Obras Publicas","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102935771&partnerID=40&md5=44ee73f44b31f9abf9fed43daedefe22","Spanish","Article","Scopus"
"Sarsembayev M.; Sarsenova S.; Karazhan B.","Sarsembayev, Marat (57210853884); Sarsenova, Saniya (57191433254); Karazhan, Bekmyrza (58104000600)","57210853884; 57191433254; 58104000600","Legal Features of the Digitalisation of Agricultural Machinery Enterprises in Kazakhstan and Globally; [Características legales de la digitalización de las empresas de maquinaria agrícola en Kazajstán y en el mundo]","2023","Revista Iberoamericana de Viticultura Agroindustria y Ruralidad","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162263085&doi=10.35588%2frivar.v10i29.5715&partnerID=40&md5=4102af06b5eb61bf8fa3c85689e2d999","English","Article","Scopus"
"Leavy A.; Jeanneret Medina M.; Baudet C.; Benoit C.; Chennaz L.; Sypowski F.; Gentaz É.","Leavy, Aline (57830163600); Jeanneret Medina, M. (57673857500); Baudet, C. (57192071188); Benoit, C. (57673314300); Chennaz, L. (57484026500); Sypowski, F. (57830073300); Gentaz, É. (55917486200)","57830163600; 57673857500; 57192071188; 57673314300; 57484026500; 57830073300; 55917486200","Advances in digitization as a lever for the autonomy of people With visual disabilities: between realities and paradoxes; [Les progrès de la digitalisation comme levier de l'autonomie des personnes en situation de handicap visuel : entre réaltiés et paradoxes]; [Los avarices de la digitalización como instrumento para la autonomía de las personas con discapaddad visual: entre realidades y paradojas]","2021","ANAE - Approche Neuropsychologique des Apprentissages chez l'Enfant","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135384594&partnerID=40&md5=c1fec792cea2e49a3fc7cd2acfceef4f","French","Article","Scopus"
"Martín Béjar S.; Trujillo Vilches F.J.; Bermudo Gamboa C.; Herrera Fernández M.; Sevilla Hurtado L.","Martín Béjar, Sergio (57196006917); Trujillo Vilches, Francisco Javier (59012899900); Bermudo Gamboa, Carolina (57224463759); Herrera Fernández, Manuel (57224475018); Sevilla Hurtado, Lorenzo (57193426345)","57196006917; 59012899900; 57224463759; 57224475018; 57193426345","PHOTOGRAMMETRY TECHNIQUES APPLICATION FOR THE DIGITIZATION OF MACHINE TOOLS AS INDUSTRIAL HERITAGE MOVABLE ASSETS; [APLICACIÓN DE TÉCNICAS DE FOTOGRAMETRÍA PARA LA DIGITALIZACIÓN DE MÁQUINASHERRAMIENTA COMO BIENES MUEBLES DE PATRIMONIO INDUSTRIAL]","2023","Proceedings from the International Congress on Project Management and Engineering","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179163317&partnerID=40&md5=2e9715e5cf8929384f149f3d8acbfbae","Spanish","Conference paper","Scopus"
"Combita-Pulido J.E.; Parra-Ortiz N.P.; Blang J.C.T.; Zapata G.A.P.; Herrera L.K.","Combita-Pulido, J.E. (57392005200); Parra-Ortiz, N.P. (57391618600); Blang, J.C. Torres (57392136700); Zapata, G.A. Pérez (57392136800); Herrera, L.K. (23987794100)","57392005200; 57391618600; 57392136700; 57392136800; 23987794100","Digitization strategy for the laboratories of the Universidad Nacional de Colombia: evaluation and implementation; [Estrategia de digitalización para los laboratorios de la Universidad Nacional de Colombia: evaluación e implementación]","2021","Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122014645&doi=10.18687%2fLACCEI2021.1.1.438&partnerID=40&md5=08564cd03ca08fce2bcf678aa4dddb6a","Spanish","Conference paper","Scopus"
"Alejandro C.M.; José A.P.; Geovanny P.C.","Alejandro, Coronado-Medina (57219453516); José, Arias-Pére (58650972500); Geovanny, Perdomo-Charry (58650289900)","57219453516; 58650972500; 58650289900","Efecto de la turbulencia tecnológica generada por la inteligencia artificial en la innovación de producto: el papel de la orientación estratégica a la digitalización","2023","Innovar","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174288114&doi=10.15446%2finnovar.v33n89.107036&partnerID=40&md5=1a6f06b0b8c16af88ac01ab0e8e557ac","Spanish","Article","Scopus"
"Gómez-Merino N.; Rubio A.; Ávila V.; Gil L.; Natalizi F.","Gómez-Merino, Nadina (57209826997); Rubio, Alba (57219802119); Ávila, Vicenta (55060729900); Gil, Laura (7102630241); Natalizi, Federica (57219799002)","57209826997; 57219802119; 55060729900; 7102630241; 57219799002","EFFECTS OF TELEWORK AND DIGITALIZATION ON SHARED READING BETWEEN PARENTS AND CHILDREN; [Effets du télétravail et de la numérisation sur la lecture partagée entre parents et enfants]; [Efectos del teletrabajo y la digitalización en la lectura compartida entre padres e hijos]","2023","Bordon. Revista de Pedagogia","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152664243&doi=10.13042%2fBordon.2023.94648&partnerID=40&md5=79089aa0aec38d3a5b059212cbd676a7","English","Article","Scopus"
"Román M.Á.G.S.","Román, Miguel Ángel González San (57220654877)","57220654877","Digitalization in the face of the environmental challenges of cities; [La digitalización ante los retos medioambientales de las ciudades]","2019","Revista de Occidente","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073607890&partnerID=40&md5=b98fd7b08c2e38b835a67e945afac7eb","Spanish","Article","Scopus"
"Duperré G.","Duperré, Gustavo (57195936346)","57195936346","DIGITALISATION OF CULTURAL HERITAGE IN THE CULTURAL AND CREATIVE INDUSTRIES: THE EXPERIMENTAL DESIGN OF A VIRTUAL MUSEUM; [DIGITALIZACIÓN DEL PATRIMONIO CULTURAL EN EL CONTEXTO DE LAS INDUSTRIAS CULTURALES Y CREATIVAS: DISEÑO EXPERIMENTAL DE UN MUSEO VIRTUAL]","2019","European Public and Social Innovation Review","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147663331&doi=10.31637%2fepsir.19-1.6&partnerID=40&md5=9a7c0b0c0e1f53e40b6c191251edfa82","Spanish","Article","Scopus"
"Montoro Osuna E.M.; Ávila Gutiérrez M.J.; Aguayo González F.","Montoro Osuna, Estela Ma (58151427600); Ávila Gutiérrez, Ma Jesús (56731071800); Aguayo González, Francisco (56115993800)","58151427600; 56731071800; 56115993800","THE DIGITIZATION OF OCCUPATIONAL HEALTH AND SAFETY. AN APPROACH FOR OHS 4.0; [LA DIGITALIZACIÓN DE LA PREVENCIÓN DE RIESGOS LABORALES. UNA APROXIMACIÓN PARA LA PRL 4.0]","2019","Proceedings from the International Congress on Project Management and Engineering","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150640023&partnerID=40&md5=e2fcd33be48082561a74fd0ee1d1ecbb","Spanish","Conference paper","Scopus"
"Popov A.V.; Soloveva T.S.","Popov, Andrei Vasilevich (57192065723); Soloveva, Tatiana Sergeevna (57222133840)","57192065723; 57222133840","Threats of employment precarization in Russia in the context of digitalization of the economy and society; [Amenazas de la precarización del empleo en Rusia en el contexto de la digitalización de la economía y la sociedad]","2019","European Public and Social Innovation Review","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147663478&doi=10.31637%2fepsir.19-2.1&partnerID=40&md5=3082f869d1201e615ebca2907abef95b","English","Article","Scopus"
"","","","Industrial engineering before the digitization of the industry; [La ingeniería industrial ante la digitalización de la industria]","2017","Dyna (Spain)","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032841658&partnerID=40&md5=db788800dd350e0973e6be91b78edf6e","English","Editorial","Scopus"
"Cruz Gil M.D.C.","Cruz Gil, María del Carmen (57860143300)","57860143300","Medical record digitalization: Analysis of a real life project involving the extremadura health service in Spain; [Digitalización de historias clínicas: Análisis de un proyecto en un contexto real en el servicio extremeño de salud en España]","2020","Revista Cubana de Informacion en Ciencias de la Salud","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090905762&doi=10.36512%2frcics.v31i3.1484&partnerID=40&md5=66cc3e39a907940798c9889aa4caed92","Spanish","Article","Scopus"
"Rego A.Z.","Rego, Agustín Zubillaga (36609644700)","36609644700","Monitoring digitalisation in the Basque Country; [Monitorizando la digitalización de Euskadi]","2020","Ekonomiaz","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104239483&partnerID=40&md5=217f23dbfd97c7c281cf0bdb95d5bd97","Spanish","Article","Scopus"
"Álvarez A.B.","Álvarez, Alejandra Boto (55916395500)","55916395500","SantÉ 2019 act: Training, vicinity and digitalization; [Ley santé 2019: Formación, proximidad y digitalización]","2019","Revista General de Derecho Administrativo","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074752118&partnerID=40&md5=24de281f9af039a09fbd6941e721672a","Spanish","Article","Scopus"
"Adam M.","Adam, Mathews (57202545271)","57202545271","Towards a unified approach to digitalization in Europe; [Hacia un enfoque unificado de la digitalización en Europa]","2018","Revista de Obras Publicas","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048707040&partnerID=40&md5=ef169494400f79198d191c5018888918","Spanish","Article","Scopus"
"García-Loureda Díaz R.; García Crespo O.; García Mirón S.","García-Loureda Díaz, Rubén (57200671535); García Crespo, Oswaldo (56041312200); García Mirón, Silvia (56041309500)","57200671535; 56041312200; 56041309500","MAM (Media asset management). Introduction of MAM digitization in TV channels in Spain. (2017); [MAM (media asset management, sistema de gestión de archivos de medios). Introducción de la digitalización MAM en las televisiones en España. (2017)]","2017","Revista Latina de Comunicacion Social","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042168889&doi=10.4185%2fRLCS-2017-1204&partnerID=40&md5=d5a3c33cb5868368e7edd6e0a97300c5","Spanish","Article","Scopus"
"Aranda M.I.F.","Aranda, María Isabel Fernández (56741336800)","56741336800","Evolution of the digitization of informed consent in obstetric care; [Evolución de la digitalización del consentimiento informado en la asistencia obstétrica]","2018","Matronas Profesion","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054558399&partnerID=40&md5=8d8e7ff517b477ab63b36c35f68b878c","Spanish","Review","Scopus"
"Lanza C.","Lanza, César (55657689800)","55657689800","""Roadmap-2030"": Road transport and mobility towards energy transition and digitalization; [""Roadmap-2030"" e i transporte y la movilidad por carretera frente a la transición energética y la digitalización]","2017","Carreteras","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026837029&partnerID=40&md5=ed8458b379149ed3406d0c663a05b677","English","Short survey","Scopus"
